@relation finalcensus_1

@attribute DIVISION numeric
@attribute ACCESS numeric
@attribute ACR numeric
@attribute BDSP numeric
@attribute ELEP numeric
@attribute GASP numeric
@attribute RNTPRange {low,medium,high}
@attribute FINCP numeric
@attribute ST numeric

@data
7,1,2,3,0,0,low,1,19
9,1,2,2,0,0,low,2,5
7,1,1,4,0,0,medium,1,37
1,1,1,2,0,0,low,2,22
8,1,0,0,1,0,low,1,3
6,1,3,2,0,0,low,1,18
9,1,0,3,0,0,medium,1,12
1,1,0,2,1,0,medium,2,7
7,1,1,3,0,0,low,2,19
3,1,1,4,0,0,medium,2,15
6,2,0,2,1,0,low,2,18
6,3,1,2,0,0,low,1,36
9,1,1,4,0,0,medium,1,5
9,2,1,3,0,0,low,1,5
7,1,0,3,0,0,low,2,37
9,3,0,2,0,0,low,1,41
9,1,1,3,0,0,medium,1,5
5,2,1,2,0,0,low,1,11
7,1,0,2,0,0,low,1,37
7,1,1,3,2,0,low,2,30
2,3,1,5,1,0,low,1,32
8,1,0,3,1,0,low,1,13
5,1,1,3,0,0,low,1,10
7,1,0,0,1,0,low,1,37
6,1,1,3,0,1,low,1,1
3,3,3,3,0,0,low,1,23
6,1,1,3,1,0,low,2,36
9,1,0,3,0,0,low,1,5
9,1,0,1,0,0,low,2,31
1,1,0,2,1,0,medium,2,22
3,1,2,4,1,1,low,1,23
7,1,1,4,0,0,low,1,4
1,1,0,2,0,0,medium,1,22
9,1,0,2,0,0,medium,1,5
5,1,1,3,0,0,low,1,10
8,3,0,2,1,0,low,1,6
2,1,1,3,2,1,low,2,32
7,2,2,4,0,0,low,1,30
8,3,0,2,0,0,low,1,6
5,2,0,1,0,0,low,1,10
4,2,1,2,1,0,low,1,24
9,1,1,3,1,2,medium,2,5
9,3,2,4,1,0,low,2,5
9,1,1,3,0,0,low,1,5
5,1,0,3,1,0,low,1,11
5,1,1,7,1,0,low,1,11
5,1,0,2,0,0,low,2,40
3,1,0,3,0,0,low,1,14
1,2,0,1,0,0,low,1,39
5,3,1,2,1,0,low,1,10
1,2,0,2,0,0,low,2,22
7,1,2,3,0,0,low,2,37
1,3,0,1,0,0,low,1,22
5,1,1,2,0,0,high,1,27
4,1,0,3,0,0,low,1,24
5,1,1,2,1,0,low,1,10
5,1,1,4,1,0,low,1,34
3,3,1,3,0,0,low,2,29
5,1,0,2,1,0,low,2,40
5,1,0,3,0,2,low,1,11
5,1,0,2,0,0,low,1,11
6,1,1,4,0,0,low,2,36
7,2,1,3,0,0,low,1,30
9,1,0,1,1,0,low,1,5
5,1,2,3,1,0,low,2,40
8,1,1,3,0,0,low,2,3
5,3,0,2,0,0,medium,1,40
9,2,0,1,0,0,low,2,41
1,1,0,2,0,0,medium,1,7
5,3,0,1,1,0,low,2,10
1,3,1,3,1,0,low,2,20
5,1,0,1,2,0,low,2,11
6,3,1,4,0,0,low,2,18
3,3,0,1,0,0,low,1,14
9,1,1,5,0,0,medium,2,5
8,1,1,4,0,0,low,2,3
3,1,0,0,0,0,low,1,14
9,1,0,3,0,0,medium,1,31
9,3,0,2,0,0,medium,1,5
9,1,0,2,0,0,low,1,41
1,1,1,3,0,0,low,2,22
5,1,0,3,0,0,low,1,10
2,1,0,2,0,0,medium,1,26
9,1,1,3,0,0,low,1,5
8,1,0,3,0,0,low,1,3
8,1,1,4,0,0,medium,2,38
9,1,1,2,0,0,medium,1,12
9,1,0,1,1,1,medium,1,5
3,1,0,2,0,0,low,1,14
5,2,1,2,0,0,low,1,27
8,1,0,2,0,0,low,1,6
7,1,1,3,1,0,high,1,37
3,3,0,2,0,0,low,1,29
5,1,1,3,1,0,low,2,10
3,1,0,2,0,0,low,1,15
2,1,2,3,1,0,low,1,32
5,1,1,3,0,0,low,2,40
7,1,0,2,0,0,medium,2,37
9,1,0,3,1,0,medium,1,5
5,3,1,2,0,0,low,2,27
4,1,1,3,0,0,low,1,17
6,1,1,4,0,0,low,1,1
9,3,1,3,1,0,low,1,5
5,3,0,0,1,0,low,2,27
6,3,0,2,0,0,low,1,1
9,3,0,2,1,0,low,2,5
7,3,1,2,0,0,low,2,19
7,2,0,1,0,0,low,2,37
5,3,0,2,0,0,low,1,40
7,1,1,3,1,0,low,1,30
9,3,1,2,0,0,low,1,5
3,1,0,2,1,0,low,1,14
9,1,1,3,0,0,medium,1,5
6,1,2,4,1,0,low,1,1
9,1,1,5,1,0,low,1,5
9,1,1,4,0,0,low,1,41
6,1,0,2,0,0,low,1,18
7,1,0,4,0,0,low,1,37
6,1,1,2,1,0,low,1,1
3,1,1,3,0,0,low,1,29
7,1,3,4,0,0,low,1,37
9,2,0,2,0,0,low,1,5
9,1,2,3,1,0,medium,1,31
3,1,1,2,1,0,low,1,14
9,1,0,3,0,0,low,1,31
5,2,0,2,1,0,low,2,10
9,1,1,3,0,0,medium,1,5
7,1,1,3,0,0,low,1,37
5,1,0,2,0,0,low,2,27
9,1,0,2,0,0,medium,2,5
5,1,1,3,1,0,low,1,27
8,1,1,3,0,0,low,1,38
8,1,1,3,0,0,low,2,3
5,1,2,3,0,0,medium,2,21
7,1,0,2,1,0,low,1,37
7,2,1,4,1,0,low,1,37
9,1,1,3,1,1,medium,1,5
6,3,1,4,1,0,low,1,1
3,1,1,2,1,0,low,1,29
9,1,0,2,1,0,low,2,5
3,1,1,3,1,0,low,1,14
9,1,0,1,0,0,medium,2,5
8,1,1,3,1,0,low,1,3
9,1,0,2,0,0,medium,2,5
5,1,0,2,0,0,low,1,10
5,3,1,4,0,0,low,2,11
5,1,1,3,0,0,low,1,34
5,1,0,3,1,0,medium,1,10
3,2,0,2,0,0,low,1,29
